DateTime	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
2023-03-24 01:39:41.273178	759.0	724.6	726.4	754.6	925.1	770.5	771.9	870.0	850.7	782.2	779.7	858.4	824.9	772.2	809.5	831.8	804.8	0.0	775.5	810.3	1296.4	1183.1	1230.8	1208.8	780.9	749.7	754.8	765.0	873.7	826.0	807.7	845.4
2023-03-24 01:59:52.541885	772.2	740.6	742.3	786.9	962.9	759.5	754.4	889.6	873.0	809.9	787.2	858.2	831.6	780.1	805.0	828.3	814.9	0.0	774.3	802.7	1252.5	1140.7	1160.5	1179.4	790.4	760.7	761.9	791.0	893.3	834.9	814.0	861.6
2023-03-24 02:20:03.228134	781.1	749.9	754.3	778.4	962.5	775.8	773.4	878.7	847.9	785.0	772.7	847.7	808.9	756.8	798.9	831.3	826.8	0.0	791.4	829.9	1349.1	1194.3	1229.9	1311.1	780.9	748.5	757.0	778.7	818.3	789.5	778.7	828.4
2023-03-24 02:40:13.259458	790.7	758.7	746.7	788.5	962.8	754.9	763.6	884.0	839.0	773.6	760.9	839.2	807.1	767.2	792.9	821.4	847.7	0.0	809.9	849.0	1272.4	1170.3	1201.5	1181.7	808.2	779.0	782.1	802.3	870.8	844.7	825.8	862.4
2023-03-24 03:00:24.284903	773.7	749.9	745.5	778.0	983.1	766.8	749.2	860.1	879.9	803.4	783.4	841.8	802.5	749.8	778.8	822.9	834.5	0.0	793.4	829.0	1289.2	1159.9	1174.2	1187.5	801.5	768.9	767.3	799.7	854.7	827.4	807.2	855.7
2023-03-24 03:20:34.954276	777.2	757.9	743.6	780.8	933.4	760.9	770.6	895.8	855.8	779.3	753.0	834.0	824.6	772.2	802.7	837.4	849.5	0.0	810.8	853.8	1293.1	1160.5	1204.6	1208.1	790.4	770.1	765.5	798.8	858.3	830.5	804.9	867.8
2023-03-24 03:40:46.189595	769.4	741.6	744.7	782.9	938.5	746.3	750.2	863.2	839.2	765.5	743.2	829.3	808.1	749.6	779.0	812.0	854.0	0.0	820.3	861.0	1322.0	1171.9	1171.5	1178.7	789.4	753.1	755.2	782.9	855.7	817.5	789.8	840.2
2023-03-24 04:00:56.378422	789.9	762.6	758.8	802.6	989.9	786.1	788.3	900.4	854.3	775.8	762.9	845.8	808.9	761.1	797.9	823.5	825.7	0.0	792.2	825.9	1328.4	1142.3	1164.0	1159.4	801.3	787.9	790.2	810.7	844.5	805.5	789.5	823.9
2023-03-24 04:21:06.616372	780.8	750.8	759.6	782.6	1023.6	785.9	783.1	877.3	905.0	820.0	857.2	873.6	825.4	776.6	804.2	836.9	859.9	0.0	813.2	849.1	1256.0	1145.2	1182.5	1188.7	785.1	760.5	762.7	789.6	848.3	829.0	801.0	854.8
2023-03-24 04:41:16.683027	786.5	745.8	741.4	791.6	904.2	774.2	774.2	872.3	901.2	809.0	794.7	880.3	818.9	769.1	809.4	836.7	837.0	0.0	797.7	846.9	1270.9	1153.0	1205.4	1186.0	800.9	775.4	776.1	792.9	860.2	834.6	815.5	850.5
2023-03-24 05:01:27.798916	783.5	760.3	761.4	776.0	952.0	783.3	789.7	898.1	875.8	802.7	798.5	862.3	849.2	783.1	822.7	864.1	846.7	0.0	798.2	844.8	1232.5	1133.2	1166.7	1150.3	795.1	756.4	757.9	790.2	854.0	817.1	787.9	827.6
2023-03-24 05:21:38.605128	779.6	754.4	755.9	805.4	966.8	787.7	797.9	914.2	877.8	807.7	809.8	890.4	835.0	783.4	809.7	834.0	849.6	0.0	808.0	843.8	1265.2	1144.6	1148.7	1136.4	824.9	786.5	792.0	830.8	852.2	825.7	805.8	849.6
2023-03-24 05:41:48.699770	777.7	748.4	761.8	800.8	932.4	771.7	770.6	864.0	886.0	812.4	801.2	876.7	826.7	769.0	804.0	825.9	837.4	0.0	803.2	847.5	1274.1	1147.7	1159.2	1175.0	789.9	761.6	753.5	790.8	861.6	825.5	829.8	865.8
2023-03-24 06:01:59.793479	809.3	766.8	775.4	802.1	866.0	801.4	804.5	879.5	875.4	810.1	810.2	864.1	854.9	806.4	840.6	871.4	857.8	0.0	822.0	876.3	1254.7	1143.1	1190.6	1192.2	813.1	787.0	780.1	803.1	892.3	851.2	811.9	860.8
2023-03-24 06:22:10.242884	786.0	753.1	754.7	789.9	992.1	775.9	777.3	911.4	867.5	800.6	793.3	860.2	840.0	793.0	822.4	864.9	850.2	0.0	845.5	840.6	1269.2	1128.1	1164.7	1144.4	782.1	756.5	757.8	787.1	869.1	848.3	826.7	851.0
2023-03-24 06:42:20.730720	777.6	743.5	747.6	784.2	859.1	797.3	793.3	2110.9	898.8	816.3	810.7	897.5	833.4	774.8	800.6	845.9	860.6	0.0	817.7	855.5	1298.7	1156.3	1189.9	1191.0	816.2	788.6	784.9	816.1	871.4	855.6	839.9	867.7
